ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,Map 1. Dogon Language Areas,.,,,,,hochstetler2004sociolinguistic,,map,
1,Ampari,,,,ampa1238,2004,hochstetler2004sociolinguistic,features,feature,map_1
2,Bondum don,,,,bond1252,2004,hochstetler2004sociolinguistic,features,feature,map_1
3,Bãngeri me,,,,bang1363,2004,hochstetler2004sociolinguistic,features,feature,map_1
4,Dogo dum,,,,dogu1235,2004,hochstetler2004sociolinguistic,features,feature,map_1
5,Donno so,,,,donn1239,2004,hochstetler2004sociolinguistic,features,feature,map_1
6,Dulen dom,,,,,2004,hochstetler2004sociolinguistic,features,feature,map_1
7,Jamsay tegu,,,,jams1239,2004,hochstetler2004sociolinguistic,features,feature,map_1
8,Korandebo,,,,,2004,hochstetler2004sociolinguistic,features,feature,map_1
9,Mombo,,,,momb1254,2004,hochstetler2004sociolinguistic,features,feature,map_1
10,Nangam,,,,nang1261,2004,hochstetler2004sociolinguistic,features,feature,map_1
11,Oru Yille,,,,tebu1239,2004,hochstetler2004sociolinguistic,features,feature,map_1
12,Tengu kan,,,,teng1266,2004,hochstetler2004sociolinguistic,features,feature,map_1
13,Togo kan,,,,togo1254,2004,hochstetler2004sociolinguistic,features,feature,map_1
14,Tommò sò,,,,tomm1242,2004,hochstetler2004sociolinguistic,features,feature,map_1
15,Tomo kan,,,,tomo1243,2004,hochstetler2004sociolinguistic,features,feature,map_1
16,Tòrò sò,,,,toro1252,2004,hochstetler2004sociolinguistic,features,feature,map_1
17,Tòrò tegu,,,,toro1253,2004,hochstetler2004sociolinguistic,features,feature,map_1
